filename,cardboard,glass,metal,paper,plastic,trash
paper432_jpg.rf.64854a4b54f7cefd54ffe8b98f491381.jpg,0,0,0,1,0,0
paper468_jpg.rf.a7e65c8bc8786b7f8f9619ed1d0554f6.jpg,0,0,0,1,0,0
paper475_jpg.rf.20912d33e789076126556b8ea7d3d25d.jpg,0,0,0,1,0,0
glass222_jpg.rf.e3f0f0aad49bb2ff64bfc85b2d930b4c.jpg,0,1,0,0,0,0
paper439_jpg.rf.f85d6084b4ef1a7341fbb19bba67f4eb.jpg,0,0,0,1,0,0
paper46_jpg.rf.9bfc2be6e1465c855d0d8e39467f58d2.jpg,0,0,0,1,0,0
paper513_jpg.rf.15258f39e32aa862ccdec0cb23062cbf.jpg,0,0,0,1,0,0
paper435_jpg.rf.a3d750f8d9b87ff2c0a5482e75c4af3a.jpg,0,0,0,1,0,0
paper456_jpg.rf.f0b9095cbcac5c15385cb47f498aeb31.jpg,0,0,0,1,0,0
paper516_jpg.rf.f71c702f99bb8d38d7dc61a78959822e.jpg,0,0,0,1,0,0
paper437_jpg.rf.9fd5b2fbac93049e2c6dcb0565247711.jpg,0,0,0,1,0,0
paper507_jpg.rf.b05e948c9998cfd0c7f821c6fb7472fc.jpg,0,0,0,1,0,0
paper476_jpg.rf.e520656e865e4b2e6301e53adad482b9.jpg,0,0,0,1,0,0
paper455_jpg.rf.f7f7772db46ab91c0f296be16173ce99.jpg,0,0,0,1,0,0
paper454_jpg.rf.7f0baf27c356979e518f0f25ae05d9e3.jpg,0,0,0,1,0,0
paper460_jpg.rf.7a45fa5c7b5b944e1a85e3401b98dd87.jpg,0,0,0,1,0,0
paper436_jpg.rf.5cf9f89526e8e548723d3aa9daef4584.jpg,0,0,0,1,0,0
paper445_jpg.rf.d6faaf0d9949e71a906732362c069268.jpg,0,0,0,1,0,0
paper440_jpg.rf.c46db779ccade643f5c9877d1339e342.jpg,0,0,0,1,0,0
paper515_jpg.rf.96a6833908b2c44bff5a72f003c15c07.jpg,0,0,0,1,0,0
paper462_jpg.rf.4621ce796870a6500de31fd1c679279f.jpg,0,0,0,1,0,0
paper527_jpg.rf.952f26b55aaa0c3d4310e8ef8ac18eda.jpg,0,0,0,1,0,0
paper525_jpg.rf.00af14d35746bec88f58f466cb29c81b.jpg,0,0,0,1,0,0
paper495_jpg.rf.772943f16d715911be7a81b56953e341.jpg,0,0,0,1,0,0
paper506_jpg.rf.e64288885ddcf3a3f4430410528b215a.jpg,0,0,0,1,0,0
